"tarih","istanbul_turkiye","issizlik_odenegi_basvuru","issizlik_odenegi_hakeden"
2021-02-01,İstanbul,17715,6764
2021-02-01,Türkiye,79928,23038
2021-03-01,İstanbul,18037,6926
2021-03-01,Türkiye,84887,25057
2021-04-01,Türkiye,97566,31446
2021-04-01,İstanbul,22926,9201
2021-05-01,Türkiye,82989,19878
2021-05-01,İstanbul,17520,5718
2021-06-01,Türkiye,104463,27443
2021-06-01,İstanbul,22483,8325
2021-07-01,Türkiye,231867,128823
2021-07-01,İstanbul,60167,40615
2021-08-01,Türkiye,152037,81256
2021-08-01,İstanbul,40717,25330
2021-09-01,Türkiye,134120,73168
2021-09-01,İstanbul,35428,21942
2021-10-01,İstanbul,29126,17087
2021-10-01,Türkiye,113987,60642
2021-11-01,İstanbul,28226,16653
2021-11-01,Türkiye,126614,66732
2021-12-01,İstanbul,30904,17789
2021-12-01,Türkiye,148774,75341
2022-01-01,İstanbul,36612,21687
2022-01-01,Türkiye,165170,86271
2022-02-01,Türkiye,130668,63304
2022-02-01,İstanbul,33167,18474
2022-03-01,İstanbul,34609,18286
2022-03-01,Türkiye,144835,66503
2022-04-01,Türkiye,136427,62955
2022-04-01,İstanbul,33481,17656
2022-05-01,Türkiye,112657,57027
2022-05-01,İstanbul,28482,15662
2022-06-01,Türkiye,142776,70489
2022-06-01,İstanbul,38009,20653
2022-07-01,Türkiye,132525,62415
2022-07-01,İstanbul,32040,16957
2022-08-01,Türkiye,140893,67677
2022-08-01,İstanbul,35291,19014
2022-09-01,İstanbul,35083,19049
2022-09-01,Türkiye,140693,68079
2022-10-01,Türkiye,138438,65011
2022-10-01,İstanbul,32071,17044
2022-11-01,İstanbul,30063,15009
2022-11-01,Türkiye,153525,67869
2022-12-01,İstanbul,32744,16420
2022-12-01,Türkiye,169243,74906
2023-01-01,İstanbul,40027,22132
2023-01-01,Türkiye,185017,88251
2023-02-01,İstanbul,29924,15120
2023-02-01,Türkiye,134686,53263
2023-03-01,İstanbul,34422,17583
2023-03-01,Türkiye,142683,57412
2023-04-01,Türkiye,112554,44681
2023-04-01,İstanbul,28401,14086
2023-05-01,İstanbul,29716,15592
2023-05-01,Türkiye,121690,58474
2023-06-01,Türkiye,129958,60019
2023-06-01,İstanbul,32874,17271
2023-07-01,Türkiye,142172,67519
2023-07-01,İstanbul,34280,17808
2023-08-01,İstanbul,34969,18262
2023-08-01,Türkiye,133055,62023
2023-09-01,İstanbul,32907,17731
2023-09-01,Türkiye,124438,59474
2023-10-01,Türkiye,126378,60253
2023-10-01,İstanbul,31268,16794
2023-11-01,İstanbul,28501,14760
2023-11-01,Türkiye,131244,61991
2023-12-01,Türkiye,130309,61486
2023-12-01,İstanbul,29224,15226
2024-01-01,Türkiye,151557,77952
2024-01-01,İstanbul,35381,20577
2024-02-01,İstanbul,33129,17448
2024-02-01,Türkiye,130555,59731
